"","date","gen_id","gen_name","v_total","v_green","v_green_pct","flooded","severe","satellite","flooded2","severe2","pop_per_sqkm","net_out_per_thousand","old_share","income_mean","unemployed_rate","land_set_pct","land_agri_pct","incumbent","distance","land_name"
"15902",2021-09-26,9187168,"Rimsting",2527,377,0.149188761377127,1,0,0,0,0,1.9855,-11.8358096197431,0.328128934777134,60491.392801252,0.0105820105820106,0.0915,0.4905,0,0,"Bayern"
"15903",2017-09-24,9276139,"Rinchnach",1863,59,0.0316693505099302,0,0,0,0,0,0.769709027605073,-4.84652665589661,0.269466882067851,32606.4434617814,0.0158319870759289,0.0475006217358866,0.382989306142751,0,95.1940391611402,"Bayern"
"15904",2021-09-26,9276139,"Rinchnach",1968,81,0.0411585365853659,0,0,0,0,0,0.75677692116389,-5.25796910943148,0.294774893197502,33465.0306748466,0.0144784468575189,0.0509823427008207,0.370057199701567,0,95.1940391611402,"Bayern"
"15905",2017-09-24,3456019,"Ringe",1016,48,0.047244094488189,0,0,0,0,0,0.583993212669683,13.5593220338983,0.225665859564165,37514.1509433962,0.00871670702179177,0.0661764705882353,0.771776018099548,1,101.352742670769,"Niedersachsen"
"15906",2021-09-26,3456019,"Ringe",894,80,0.0894854586129754,0,0,0,0,0,0.556843891402715,22.3463687150838,0.259014728288471,38601.3437849944,0.00695134061569017,0.0678733031674208,0.763574660633484,0,101.352742670769,"Niedersachsen"
"15907",2017-09-24,9272140,"Ringelai",1105,71,0.0642533936651584,0,0,0,0,0,1.15210751374465,-7.95334040296925,0.28525980911983,32447.5374732334,0.0159066808059385,0.0678069639584606,0.390959071472205,0,90.5755821763174,"Bayern"
"15908",2021-09-26,9272140,"Ringelai",1193,82,0.0687342833193629,0,0,0,0,0,1.16310323762981,-27.3109243697479,0.322478991596639,33774.6478873239,0.01805629314923,0.0690287110568112,0.387293830177153,0,90.5755821763174,"Bayern"
"15909",2017-09-24,6636010,"Ringgau",1938,101,0.0521155830753354,0,0,0,0,0,0.445958083832335,-2.34978180597516,0.322591473648875,31209.0277777778,0.0144343739509903,0.0290419161676647,0.550299401197605,1,78.5983033192636,"Hessen"
"15910",2021-09-26,6636010,"Ringgau",1947,107,0.0549563430919363,0,0,0,0,0,0.431671905403383,-9.36199722607489,0.349861303744799,33255.9274755927,0.0170672239637757,0.0303846729531507,0.54303248016764,1,78.5983033192636,"Hessen"
"15911",2017-09-24,16068045,"Ringleben",290,13,0.0448275862068966,0,0,0,0,0,0.748475609756098,-28.5132382892057,0.325865580448065,32159.4827586207,0.0203665987780041,0.0411585365853659,0.88109756097561,1,87.1738553718527,"Th<fc>ringen"
"15912",2021-09-26,16068045,"Ringleben",237,11,0.0464135021097046,0,0,0,0,0,0.76219512195122,-6,0.342,33264.7058823529,0.0201207243460765,0.0564024390243902,0.86890243902439,0,87.1738553718527,"Th<fc>ringen"
"15913",2017-09-24,1059157,"Ringsberg",287,34,0.118466898954704,0,0,0,0,0,1.09142857142857,-38.3944153577661,0.191972076788831,38686.7469879518,0.0244328097731239,0.0571428571428571,0.866666666666667,1,348.855257983103,"Schleswig-Holstein"
"15914",2021-09-26,1059157,"Ringsberg",270,47,0.174074074074074,0,0,0,0,0,1.02666666666667,14.8423005565863,0.246753246753247,39372.0930232558,0.0275229357798165,0.0571428571428571,0.866666666666667,1,348.855257983103,"Schleswig-Holstein"
"15915",2017-09-24,8317113,"Ringsheim",1110,135,0.121621621621622,0,0,0,0,0,2.03890362511052,-8.67302688638335,0.264960971379011,38395.951417004,0.0151777970511709,0.14500442086649,0.392572944297082,1,160.531456649744,"Baden-W<fc>rttemberg, Land"
"15916",2021-09-26,8317113,"Ringsheim",1413,237,0.167728237791932,0,0,0,0,0,2.14677276746242,-3.29489291598023,0.266062602965404,41091.5086562242,0.018579686209744,0.145888594164456,0.391688770999116,1,160.531456649744,"Baden-W<fc>rttemberg, Land"
"15917",2017-09-24,7337067,"Rinnthal",269,28,0.104089219330855,0,0,0,0,0,0.463432295438088,-14.0625,0.2640625,35500,0.0203125,0.0224475018102824,0.0391020999275887,1,74.9055344096717,"Rheinland-Pfalz"
"15918",2021-09-26,7337067,"Rinnthal",143,19,0.132867132867133,0,0,0,0,0,0.500362056480811,-7.23589001447178,0.277858176555716,35310.0558659218,0.0233576642335766,0.0217233888486604,0.0391020999275887,1,74.9055344096717,"Rheinland-Pfalz"
"15919",2017-09-24,3257031,"Rinteln",14450,1030,0.071280276816609,0,0,0,0,0,2.34149697303247,-18.9603165275982,0.311513299643515,37260.6199770379,0.0388216398323344,0.138414969730325,0.429554210236654,1,59.2184751707323,"Niedersachsen"
"15920",2021-09-26,3257031,"Rinteln",13944,1638,0.117469879518072,0,0,0,0,0,2.3378279214823,-7.72943069015577,0.328402715109664,37185.7514638907,0.0357929515418502,0.138873601174097,0.428820399926619,0,59.2184751707323,"Niedersachsen"
"15921",2017-09-24,7134071,"Rinzenberg",164,11,0.0670731707317073,0,0,0,0,0,0.278169014084507,-28.4810126582278,0.329113924050633,35778.5234899329,0.0158227848101266,0.0202464788732394,0.17693661971831,1,1.61148748629183,"Rheinland-Pfalz"
"15922",2021-09-26,7134071,"Rinzenberg",100,6,0.06,0,0,0,0,0,0.277288732394366,-73.015873015873,0.365079365079365,37389.2617449664,0.0273037542662116,0.0211267605633803,0.176056338028169,1,1.61148748629183,"Rheinland-Pfalz"
"15923",2017-09-24,7235115,"Riol",555,35,0.0630630630630631,1,0,0,0,0,1.94603174603175,7.34094616639478,0.242251223491028,44255.652173913,0.0122349102773246,0.126984126984127,0.312698412698413,1,0,"Rheinland-Pfalz"
"15924",2021-09-26,7235115,"Riol",283,27,0.0954063604240283,1,0,0,0,0,1.99206349206349,12.7490039840637,0.262151394422311,69672.384219554,0.0126382306477093,0.126984126984127,0.314285714285714,1,0,"Rheinland-Pfalz"
"15925",2017-09-24,16066056,"Rippershausen",451,11,0.024390243902439,0,0,0,0,0,0.731304347826087,8.32342449464923,0.313912009512485,30986.7256637168,0.0118906064209275,0.0608695652173913,0.595652173913043,1,39.460617349039,"Th<fc>ringen"
"15926",2021-09-26,16066056,"Rippershausen",380,15,0.0394736842105263,0,0,0,0,0,0.70147954743255,6.20347394540943,0.325062034739454,31961.4512471655,0.0194884287454324,0.0678851174934726,0.604873803307224,0,39.460617349039,"Th<fc>ringen"
"15927",2017-09-24,1054109,"Risum-Lindholm",2045,253,0.123716381418093,0,0,0,0,0,1.04496253122398,-9.29614873837981,0.263745019920319,42308.0568720379,0.0199203187250996,0.0827088537330003,0.823480432972523,1,333.673265085519,"Schleswig-Holstein"
"15928",2021-09-26,1054109,"Risum-Lindholm",1882,306,0.16259298618491,0,0,0,0,0,1.06827643630308,-12.7305793712653,0.274616783580151,40930.7135470527,0.0184404636459431,0.086872051068554,0.8165417707466,1,333.673265085519,"Schleswig-Holstein"
"15929",2017-09-24,16066057,"Ritschenhausen",185,10,0.0540540540540541,0,0,0,0,0,0.43758389261745,3.06748466257669,0.303680981595092,33337.1428571429,0.0306748466257669,0.0523489932885906,0.386577181208054,1,28.7937673990481,"Th<fc>ringen"
"15930",2021-09-26,16066057,"Ritschenhausen",154,6,0.038961038961039,0,0,0,0,0,0.436241610738255,3.07692307692308,0.310769230769231,31652.4064171123,0.0213414634146341,0.0590604026845638,0.370469798657718,0,28.7937673990481,"Th<fc>ringen"
"15931",2017-09-24,3356008,"Ritterhude",9344,866,0.0926797945205479,0,0,0,0,0,4.43303978135439,2.67159884915742,0.298054528017537,43622.9270860753,0.0187011919441019,0.194047980564834,0.629213483146067,1,161.041946497758,"Niedersachsen"
"15932",2021-09-26,3356008,"Ritterhude",9081,1491,0.16418896597291,0,0,0,0,0,4.47132018209408,-7.12685807371208,0.305233150071269,45925.6792058516,0.0199536910923454,0.193019726858877,0.619119878603945,0,161.041946497758,"Niedersachsen"
"15933",2017-09-24,7232109,"Rittersdorf",574,38,0.0662020905923345,1,1,1,1,1,1.19545071609099,31.7124735729387,0.210711768851304,37502.3183925811,0.0133897110641297,0.0859309182813816,0.730412805391744,1,0,"Rheinland-Pfalz"
"15934",2017-09-24,16071079,"Rittersdorf",163,7,0.0429447852760736,0,0,0,0,0,0.314350797266515,-25.3623188405797,0.184782608695652,32702.2900763359,0.0181159420289855,0.0193621867881549,0.719817767653758,1,52.1860507719404,"Th<fc>ringen"
"15935",2021-09-26,7232109,"Rittersdorf",285,34,0.119298245614035,1,1,1,1,1,1.16596461668071,10.8381502890173,0.238439306358382,37937.784522003,0.0142959256611866,0.0817186183656276,0.732940185341196,1,0,"Rheinland-Pfalz"
"15936",2021-09-26,16071079,"Rittersdorf",144,10,0.0694444444444444,0,0,0,0,0,0.306378132118451,22.3048327137546,0.211895910780669,34841.2698412698,0.010989010989011,0.0375854214123007,0.701594533029613,0,52.1860507719404,"Th<fc>ringen"
"15937",2017-09-24,7333062,"Rittersheim",80,6,0.075,0,0,0,0,0,0.453164556962025,-50.2793296089386,0.268156424581006,42861.3861386139,0.0335195530726257,0.030379746835443,0.911392405063291,1,59.8550958594344,"Rheinland-Pfalz"
